Model,Accuracy wihout Feature Selection,Accuracy with 0.2 Classic Feature Selection,Accuracy with 0.5 Classic Feature Selection,Accuracy with 0.2 Boruta Feature Selection,Accuracy with 0.5 Boruta Feature Selection
K Neighbors Classifier,0.6417,0.5667,0.5917,0.65,0.7917
Linear Discriminant Analysis,0.5333,0.5667,0.5667,0.6167,0.725
Light Gradient Boosting Machine,0.5333,0.5583,0.5667,0.6167,0.7083
Dummy Classifier,0.5333,0.5333,0.55,0.575,0.7
Logistic Regression,0.5167,0.5333,0.5333,0.5667,0.625
Gradient Boosting Classifier,0.5167,0.5,0.5083,0.5667,0.6
Random Forest Classifier,0.5083,0.475,0.5083,0.5583,0.6
Quadratic Discriminant Analysis,0.5,0.45,0.4833,0.5083,0.5583
Decision Tree Classifier,0.4833,0.45,0.475,0.5083,0.5333
Ada Boost Classifier,0.4833,0.4417,0.45,0.5,0.525
SVM - Linear Kernel,0.4667,0.35,0.4417,0.4667,0.5083
Naive Bayes,0.4583,0.3333,0.4333,0.4583,0.4583
Ridge Classifier,0.4583,0.3,0.3417,0.4333,0.425
Extra Trees Classifier,0.4417,0.2667,0.3167,0.425,0.3333
