Model,Accuracy wihout Normalization,Accuracy with zscore Normalization,Accuracy with minmax Normalization,Accuracy with maxabs Normalization,Accuracy with robust Normalization
K Neighbors Classifier,0.6417,0.625,0.5583,0.6167,0.7
Linear Discriminant Analysis,0.5333,0.6,0.5417,0.6083,0.6583
Light Gradient Boosting Machine,0.5333,0.6,0.5333,0.575,0.6417
Dummy Classifier,0.5333,0.575,0.5333,0.5667,0.5333
Logistic Regression,0.5167,0.575,0.5083,0.5583,0.5333
Gradient Boosting Classifier,0.5167,0.5667,0.5083,0.5583,0.5167
Random Forest Classifier,0.5083,0.55,0.4917,0.55,0.5167
Quadratic Discriminant Analysis,0.5,0.55,0.475,0.55,0.5
Decision Tree Classifier,0.4833,0.55,0.4583,0.5417,0.5
Ada Boost Classifier,0.4833,0.5417,0.4333,0.5333,0.4833
SVM - Linear Kernel,0.4667,0.5417,0.4167,0.5333,0.4667
Naive Bayes,0.4583,0.5083,0.4083,0.5083,0.4583
Ridge Classifier,0.4583,0.4917,0.3917,0.4417,0.4417
Extra Trees Classifier,0.4417,0.45,0.3333,0.3833,0.4167
